Feature,Score
trucker path,110.4089362049205
great app,86.7794925177345
truck stop,85.86208668827813
new update,85.4765448419062
truck stops,83.17746650804158
google maps,73.89191183198362
use app,70.73100836500423
doesnt work,60.08753796528164
free trial,57.727542632860356
good app,54.64481227469048
app used,54.55293110219121
used great,53.27560485342004
wont let,40.04047291305592
weigh stations,39.86530544939803
latest update,38.596986449837495
truck route,36.510748093593286
app use,36.00582685420851
update app,35.84500866029638
used app,35.557365144238766
used good,35.31435813082794
open app,34.85585642768286
app doesnt,34.83683763404539
using app,33.83469049123974
dont need,33.59208258343948
truck routes,33.45587719592816
cancel subscription,33.3859836709199
app sucks,32.826988652694304
weigh station,32.663058720841846
customer service,30.261338082161274
dont know,28.923279542788165
truck gps,28.603636419688623
app keeps,28.137580624883828
dont want,27.111112377448432
fuel prices,26.45157047583772
used great app,26.221193810671387
new version,25.779992449406997
app ads,25.51993395989939
app years,24.84378004012671
recent update,24.50657703198278
app useless,23.795208196110455
love app,23.73841231038535
app wont,23.048927592088436
pay app,22.870752709125476
waste time,21.884297641837456
pop ups,21.32688600602243
want pay,20.89245631553469
truck driver,20.709607737025625
use google,19.913086649755503
used good app,15.17831068609972
use google maps,14.910953184273675
